scenario,controller,success,final_distance,steps,clearance,terrain_risk,smoothness,jerk,runtime_ms
id_random,nominal,1.00,0.680759,132.7,3.479438,0.340377,0.003192,0.002735,6.428392
id_random,default g1.0,1.00,0.690814,155.0,3.487263,0.319765,0.002795,0.001919,57.691412
id_random,current 0.5/3.5/1.0,1.00,0.678513,125.8,3.515733,0.342448,0.003405,0.002855,60.986813
id_random,balanced 0.5/3.0/0.75,1.00,0.679863,129.6,3.507755,0.340319,0.003316,0.002838,58.518845
ood_obstacle,nominal,1.00,0.678434,134.8,2.847047,0.338841,0.003191,0.002754,6.065022
ood_obstacle,default g1.0,1.00,0.688978,165.6,2.871012,0.319754,0.002798,0.002034,53.892966
ood_obstacle,current 0.5/3.5/1.0,1.00,0.677766,127.1,2.901911,0.341900,0.003425,0.002815,52.855774
ood_obstacle,balanced 0.5/3.0/0.75,1.00,0.681172,130.7,2.905624,0.339788,0.003297,0.002838,52.361077
ood_terrain,nominal,1.00,0.685207,134.0,3.496377,0.376006,0.003124,0.002640,5.791611
ood_terrain,default g1.0,1.00,0.688559,154.1,3.468359,0.350336,0.002688,0.001744,53.437412
ood_terrain,current 0.5/3.5/1.0,1.00,0.678469,127.0,3.519603,0.378277,0.003404,0.002781,53.403383
ood_terrain,balanced 0.5/3.0/0.75,1.00,0.683507,131.5,3.489042,0.375045,0.003213,0.002754,52.698390
