x0,y0,r0,dx0,dy0,x1,y1,r1,dx1,dy1,x2,y2,r2,dx2,dy2
4.0,5.5,0.4,-0.5,-0.5,8.0,6.5,0.4,-0.3,-0.3,11.2,11.8,0.4,-0.1,-0.1
3.949,5.449,0.4,-0.51,-0.51,7.969,6.469,0.4,-0.31,-0.31,11.189,11.789000000000001,0.4,-0.11,-0.11
3.897,5.397,0.4,-0.52,-0.52,7.937,6.437,0.4,-0.32,-0.32,11.177,11.777000000000001,0.4,-0.12,-0.12
3.844,5.344,0.4,-0.53,-0.53,7.904,6.404,0.4,-0.33,-0.33,11.164,11.764000000000001,0.4,-0.13,-0.13
3.79,5.29,0.4,-0.54,-0.54,7.87,6.37,0.4,-0.34,-0.34,11.15,11.750000000000002,0.4,-0.14,-0.14
3.735,5.235,0.4,-0.55,-0.55,7.835,6.335,0.4,-0.35000000000000003,-0.35000000000000003,11.135,11.735000000000001,0.4,-0.15000000000000002,-0.15000000000000002
3.679,5.179,0.4,-0.56,-0.56,7.799,6.299,0.4,-0.36000000000000004,-0.36000000000000004,11.119,11.719000000000001,0.4,-0.16000000000000003,-0.16000000000000003
3.622,5.122,0.4,-0.5700000000000001,-0.5700000000000001,7.7620000000000005,6.2620000000000005,0.4,-0.37000000000000005,-0.37000000000000005,11.102,11.702000000000002,0.4,-0.17000000000000004,-0.17000000000000004
3.564,5.064,0.4,-0.5800000000000001,-0.5800000000000001,7.724,6.224,0.4,-0.38000000000000006,-0.38000000000000006,11.084,11.684000000000001,0.4,-0.18000000000000005,-0.18000000000000005
3.505,5.005,0.4,-0.5900000000000001,-0.5900000000000001,7.6850000000000005,6.1850000000000005,0.4,-0.39000000000000007,-0.39000000000000007,11.065,11.665000000000001,0.4,-0.19000000000000006,-0.19000000000000006
3.445,4.945,0.4,-0.6000000000000001,-0.6000000000000001,7.6450000000000005,6.1450000000000005,0.4,-0.4000000000000001,-0.4000000000000001,11.045,11.645000000000001,0.4,-0.20000000000000007,-0.20000000000000007
3.384,4.884,0.4,-0.6100000000000001,-0.6100000000000001,7.604,6.104,0.4,-0.4100000000000001,-0.4100000000000001,11.024,11.624,0.4,-0.21000000000000008,-0.21000000000000008
3.322,4.822,0.4,-0.6200000000000001,-0.6200000000000001,7.562,6.062,0.4,-0.4200000000000001,-0.4200000000000001,11.001999999999999,11.602,0.4,-0.22000000000000008,-0.22000000000000008
3.259,4.759,0.4,-0.6300000000000001,-0.6300000000000001,7.519,6.019,0.4,-0.4300000000000001,-0.4300000000000001,10.979,11.579,0.4,-0.2300000000000001,-0.2300000000000001
3.195,4.695,0.4,-0.6400000000000001,-0.6400000000000001,7.4750000000000005,5.9750000000000005,0.4,-0.4400000000000001,-0.4400000000000001,10.955,11.555000000000001,0.4,-0.2400000000000001,-0.2400000000000001
3.13,4.63,0.4,-0.6500000000000001,-0.6500000000000001,7.430000000000001,5.930000000000001,0.4,-0.4500000000000001,-0.4500000000000001,10.93,11.530000000000001,0.4,-0.2500000000000001,-0.2500000000000001
3.064,4.564,0.4,-0.6600000000000001,-0.6600000000000001,7.384,5.884,0.4,-0.46000000000000013,-0.46000000000000013,10.904,11.504000000000001,0.4,-0.2600000000000001,-0.2600000000000001
2.997,4.497,0.4,-0.6700000000000002,-0.6700000000000002,7.337000000000001,5.837000000000001,0.4,-0.47000000000000014,-0.47000000000000014,10.877,11.477000000000002,0.4,-0.27000000000000013,-0.27000000000000013
2.929,4.429,0.4,-0.6800000000000002,-0.6800000000000002,7.289000000000001,5.789000000000001,0.4,-0.48000000000000015,-0.48000000000000015,10.849,11.449000000000002,0.4,-0.28000000000000014,-0.28000000000000014
2.86,4.36,0.4,-0.6900000000000002,-0.6900000000000002,7.24,5.74,0.4,-0.49000000000000016,-0.49000000000000016,10.82,11.420000000000002,0.4,-0.29000000000000015,-0.29000000000000015
2.79,4.29,0.4,-0.7000000000000002,-0.7000000000000002,7.19,5.69,0.4,-0.5000000000000001,-0.5000000000000001,10.790000000000001,11.390000000000002,0.4,-0.30000000000000016,-0.30000000000000016
2.719,4.219,0.4,-0.7100000000000002,-0.7100000000000002,7.139,5.639,0.4,-0.5100000000000001,-0.5100000000000001,10.759,11.359000000000002,0.4,-0.31000000000000016,-0.31000000000000016
2.647,4.147,0.4,-0.7200000000000002,-0.7200000000000002,7.087000000000001,5.587000000000001,0.4,-0.5200000000000001,-0.5200000000000001,10.727,11.327000000000002,0.4,-0.3200000000000002,-0.3200000000000002
2.574,4.074,0.4,-0.7300000000000002,-0.7300000000000002,7.034000000000001,5.534000000000001,0.4,-0.5300000000000001,-0.5300000000000001,10.694,11.294000000000002,0.4,-0.3300000000000002,-0.3300000000000002
2.5,4.0,0.4,-0.7400000000000002,-0.7400000000000002,6.98,5.48,0.4,-0.5400000000000001,-0.5400000000000001,10.66,11.260000000000002,0.4,-0.3400000000000002,-0.3400000000000002
2.425,3.925,0.4,-0.7500000000000002,-0.7500000000000002,6.925000000000001,5.425000000000001,0.4,-0.5500000000000002,-0.5500000000000002,10.625,11.225000000000001,0.4,-0.3500000000000002,-0.3500000000000002
2.3489999999999998,3.8489999999999998,0.4,-0.7600000000000002,-0.7600000000000002,6.869000000000001,5.369000000000001,0.4,-0.5600000000000002,-0.5600000000000002,10.589,11.189000000000002,0.4,-0.3600000000000002,-0.3600000000000002
2.272,3.772,0.4,-0.7700000000000002,-0.7700000000000002,6.812,5.312,0.4,-0.5700000000000002,-0.5700000000000002,10.552,11.152000000000001,0.4,-0.3700000000000002,-0.3700000000000002
2.194,3.694,0.4,-0.7800000000000002,-0.7800000000000002,6.7540000000000004,5.2540000000000004,0.4,-0.5800000000000002,-0.5800000000000002,10.514,11.114,0.4,-0.3800000000000002,-0.3800000000000002
2.1149999999999998,3.6149999999999998,0.4,-0.7900000000000003,-0.7900000000000003,6.695,5.195,0.4,-0.5900000000000002,-0.5900000000000002,10.475,11.075000000000001,0.4,-0.39000000000000024,-0.39000000000000024
2.0349999999999997,3.5349999999999997,0.4,-0.8000000000000003,-0.8000000000000003,6.635000000000001,5.135000000000001,0.4,-0.6000000000000002,-0.6000000000000002,10.435,11.035000000000002,0.4,-0.40000000000000024,-0.40000000000000024
1.9539999999999997,3.4539999999999997,0.4,-0.8100000000000003,-0.8100000000000003,6.574000000000001,5.074000000000001,0.4,-0.6100000000000002,-0.6100000000000002,10.394,10.994000000000002,0.4,-0.41000000000000025,-0.41000000000000025
1.8719999999999997,3.372,0.4,-0.8200000000000003,-0.8200000000000003,6.5120000000000005,5.0120000000000005,0.4,-0.6200000000000002,-0.6200000000000002,10.352,10.952000000000002,0.4,-0.42000000000000026,-0.42000000000000026
1.7889999999999997,3.2889999999999997,0.4,-0.8300000000000003,-0.8300000000000003,6.449000000000001,4.949000000000001,0.4,-0.6300000000000002,-0.6300000000000002,10.309000000000001,10.909000000000002,0.4,-0.43000000000000027,-0.43000000000000027
1.7049999999999996,3.2049999999999996,0.4,-0.8400000000000003,-0.8400000000000003,6.385000000000001,4.885000000000001,0.4,-0.6400000000000002,-0.6400000000000002,10.265,10.865000000000002,0.4,-0.4400000000000003,-0.4400000000000003
1.6199999999999997,3.1199999999999997,0.4,-0.8500000000000003,-0.8500000000000003,6.32,4.82,0.4,-0.6500000000000002,-0.6500000000000002,10.22,10.820000000000002,0.4,-0.4500000000000003,-0.4500000000000003
1.5339999999999996,3.034,0.4,-0.8600000000000003,-0.8600000000000003,6.2540000000000004,4.7540000000000004,0.4,-0.6600000000000003,-0.6600000000000003,10.174000000000001,10.774000000000003,0.4,-0.4600000000000003,-0.4600000000000003
1.4469999999999996,2.9469999999999996,0.4,-0.8700000000000003,-0.8700000000000003,6.187,4.687,0.4,-0.6700000000000003,-0.6700000000000003,10.127,10.727000000000002,0.4,-0.4700000000000003,-0.4700000000000003
1.3589999999999995,2.8589999999999995,0.4,-0.8800000000000003,-0.8800000000000003,6.119000000000001,4.619000000000001,0.4,-0.6800000000000003,-0.6800000000000003,10.079,10.679000000000002,0.4,-0.4800000000000003,-0.4800000000000003
1.2699999999999996,2.7699999999999996,0.4,-0.8900000000000003,-0.8900000000000003,6.050000000000001,4.550000000000001,0.4,-0.6900000000000003,-0.6900000000000003,10.030000000000001,10.630000000000003,0.4,-0.4900000000000003,-0.4900000000000003
1.1799999999999995,2.6799999999999997,0.4,-0.9000000000000004,-0.9000000000000004,5.98,4.48,0.4,-0.7000000000000003,-0.7000000000000003,9.98,10.580000000000002,0.4,-0.5000000000000003,-0.5000000000000003
1.0889999999999995,2.5889999999999995,0.4,-0.9100000000000004,-0.9100000000000004,5.909000000000001,4.409000000000001,0.4,-0.7100000000000003,-0.7100000000000003,9.929,10.529000000000002,0.4,-0.5100000000000003,-0.5100000000000003
0.9969999999999994,2.4969999999999994,0.4,-0.9200000000000004,-0.9200000000000004,5.837000000000001,4.337000000000001,0.4,-0.7200000000000003,-0.7200000000000003,9.877,10.477000000000002,0.4,-0.5200000000000004,-0.5200000000000004
0.9039999999999994,2.4039999999999995,0.4,-0.9300000000000004,-0.9300000000000004,5.764,4.264,0.4,-0.7300000000000003,-0.7300000000000003,9.824,10.424000000000001,0.4,-0.5300000000000004,-0.5300000000000004
0.8099999999999993,2.3099999999999996,0.4,-0.9400000000000004,-0.9400000000000004,5.69,4.19,0.4,-0.7400000000000003,-0.7400000000000003,9.77,10.370000000000001,0.4,-0.5400000000000004,-0.5400000000000004
